           <program>                 ----                 ----       isNotaLeafNode                 ----                 ----            <program>
                <---                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>          TK_ASSIGNOP

     <singleOrRecId>                 ----                 ----       isNotaLeafNode                 ----                 <---      <singleOrRecId>

                b5c6                TK_ID                   36          isaLeafNode                 ----      <singleOrRecId>                 ----

           chemistry           TK_FIELDID                   36          isaLeafNode                 ----      <singleOrRecId>                 ----

                0.00              TK_RNUM                   36          isaLeafNode                 0.00                 <---                 ----

        <otherStmts>                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>         <otherStmts>

     <iterativeStmt>                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>      <iterativeStmt>

               while             TK_WHILE                   37          isaLeafNode                 ----      <iterativeStmt>                 ----

 <booleanExpression>                 ----                 ----       isNotaLeafNode                 ----      <iterativeStmt>  <booleanExpression>

                  b5                TK_ID                   37          isaLeafNode                 ----  <booleanExpression>                 ----

                  <=                TK_LE                   37          isaLeafNode                 ----  <booleanExpression>                 ----

           d5cb34567                TK_ID                   37          isaLeafNode                 ----  <booleanExpression>                 ----

       <funCallStmt>                 ----                 ----       isNotaLeafNode                 ----      <iterativeStmt>        <funCallStmt>

                <---                 ----                 ----       isNotaLeafNode                 ----        <funCallStmt>          TK_ASSIGNOP

                  d4                TK_ID                   38          isaLeafNode                 ----                 <---                 ----

                call              TK_CALL                   38          isaLeafNode                 ----        <funCallStmt>                 ----

          _readMarks             TK_FUNID                   38          isaLeafNode                 ----        <funCallStmt>                 ----

                with              TK_WITH                   38          isaLeafNode                 ----        <funCallStmt>                 ----

                  b5                TK_ID                   38          isaLeafNode                 ----        <funCallStmt>                 ----

        <otherStmts>                 ----                 ----       isNotaLeafNode                 ----      <iterativeStmt>         <otherStmts>

                <---                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>          TK_ASSIGNOP

                b5c6                TK_ID                   39          isaLeafNode                 ----                 <---                 ----

<arithmeticExpression>                 ----                 ----       isNotaLeafNode                 ----                 <--- <arithmeticExpression>

                b5c6                TK_ID                   39          isaLeafNode                 ---- <arithmeticExpression>                 ----

          <expPrime>                 ----                 ----       isNotaLeafNode                 ---- <arithmeticExpression>           <expPrime>

                   +              TK_PLUS                   39          isaLeafNode                 ----           <expPrime>                 ----

                  d4                TK_ID                   39          isaLeafNode                 ----           <expPrime>                 ----

                <---                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>          TK_ASSIGNOP

                  b5                TK_ID                   41          isaLeafNode                 ----                 <---                 ----

<arithmeticExpression>                 ----                 ----       isNotaLeafNode                 ----                 <--- <arithmeticExpression>

                  b5                TK_ID                   41          isaLeafNode                 ---- <arithmeticExpression>                 ----

          <expPrime>                 ----                 ----       isNotaLeafNode                 ---- <arithmeticExpression>           <expPrime>

                   +              TK_PLUS                   41          isaLeafNode                 ----           <expPrime>                 ----

                   1               TK_NUM                   41          isaLeafNode                    1           <expPrime>                 ----

            endwhile          TK_ENDWHILE                   42          isaLeafNode                 ----      <iterativeStmt>                 ----

        <otherStmts>                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>         <otherStmts>

                <---                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>          TK_ASSIGNOP

                  d4                TK_ID                   43          isaLeafNode                 ----                 <---                 ----

              <term>                 ----                 ----       isNotaLeafNode                 ----                 <---               <term>

                b5c6                TK_ID                   43          isaLeafNode                 ----               <term>                 ----

         <termPrime>                 ----                 ----       isNotaLeafNode                 ----               <term>          <termPrime>

                   /               TK_DIV                   43          isaLeafNode                 ----          <termPrime>                 ----

           d5cb34567                TK_ID                   43          isaLeafNode                 ----          <termPrime>                 ----

        <otherStmts>                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>         <otherStmts>

            <ioStmt>                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>             <ioStmt>

               write             TK_WRITE                   44          isaLeafNode                 ----             <ioStmt>                 ----

     <singleOrRecId>                 ----                 ----       isNotaLeafNode                 ----             <ioStmt>      <singleOrRecId>

                  d4                TK_ID                   44          isaLeafNode                 ----      <singleOrRecId>                 ----

               maths           TK_FIELDID                   44          isaLeafNode                 ----      <singleOrRecId>                 ----

        <otherStmts>                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>         <otherStmts>

            <ioStmt>                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>             <ioStmt>

               write             TK_WRITE                   45          isaLeafNode                 ----             <ioStmt>                 ----

     <singleOrRecId>                 ----                 ----       isNotaLeafNode                 ----             <ioStmt>      <singleOrRecId>

                  d4                TK_ID                   45          isaLeafNode                 ----      <singleOrRecId>                 ----

             physics           TK_FIELDID                   45          isaLeafNode                 ----      <singleOrRecId>                 ----

            <ioStmt>                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>             <ioStmt>

               write             TK_WRITE                   46          isaLeafNode                 ----             <ioStmt>                 ----

     <singleOrRecId>                 ----                 ----       isNotaLeafNode                 ----             <ioStmt>      <singleOrRecId>

                  d4                TK_ID                   46          isaLeafNode                 ----      <singleOrRecId>                 ----

           chemistry           TK_FIELDID                   46          isaLeafNode                 ----      <singleOrRecId>                 ----

              return            TK_RETURN                   47          isaLeafNode                 ----              <stmts>                 ----

                 end               TK_END                   48          isaLeafNode                 ----       <mainFunction>                 ----

